year,population_total,population_growth_annual_percent,net_migration,gdp_current_usd,gdp_growth_annual_percent,gdp_per_capita_current_usd,unemployment_total_percent,remittances_percent_gdp,fdi_percent_gdp,eurostat_immigration_to_europe,eurostat_emigration_from_europe,total_first_residence_permits,education_permits,employment_permits,family_permits,other_reason_permits,net_migration_rate_per_1000,residence_permits_per_100k_population,employment_permit_share,education_permit_share,family_permit_share,migration_pressure_index
2000,3089027.0,-0.637356833943492,-60531.0,3584570164.85195,7.46285871776054,1160.42047054038,19.023,16.6770344143812,3.9893207113692,,,,,,,,-19.595490748381287,,,,,19.595490748381287
2001,3060173.0,-0.93847042771206,-48070.0,4059064033.13379,8.8637306604876,1326.41652388077,18.57,17.2281095910701,5.10708868615592,,,,,,,,-15.708262245304434,,,,,15.708262245304434
2002,3051010.0,-0.299876697084691,-45178.0,4515003116.68036,4.62839587394552,1479.83884572006,17.891,16.2473863481927,2.99003115858884,,,,,,,,-14.807555530791442,,,,,14.807555530791442
2003,3039616.0,-0.374149169291299,-48517.0,5801712040.48463,5.33326426009945,1908.69900687608,16.985,15.3187296457995,3.06868730168473,,,,,,,,-15.96155567018992,,,,,15.96155567018992
2004,3026939.0,-0.417931377925999,-48654.0,7406645793.44038,5.26626173860785,2446.90949947798,16.306,15.670684644424,4.60782278585291,,,,,,,,-16.07366385645697,,,,,16.07366385645697
2005,3011487.0,-0.511790116421897,-48893.0,8256658249.8128,5.13082193056189,2741.72136549578,15.966,15.6201731609198,3.17899814544722,,,,,,,,-16.235500933591943,,,,,16.235500933591943
2006,2992547.0,-0.630911244851673,-48882.0,9150528132.17633,6.0189812403864,3057.77257038113,15.626,14.8567088699863,3.55321913781567,,,,,,,,-16.33458054292882,,,,,16.33458054292882
2007,2970017.0,-0.75571875541991,-49770.0,11116937869.8568,6.50009261158209,3743.05529896187,15.966,13.2052550548158,5.86740351847628,,,,,,,,-16.757479839340988,,,,,16.757479839340988
2008,2947314.0,-0.767342959142321,-50619.0,13258506375.4518,6.90706230713707,4498.50486763601,13.06,14.0708275191369,9.40665320050491,,,2424872.0,407006.0,737366.0,681431.0,,-17.174620688532002,82273.96198708384,0.3040845042542451,0.1678463852937392,0.2810173073052928,82291.13660777237
2009,2927519.0,-0.673894046451936,-51657.0,12335540656.1006,2.69075152362146,4213.65007574693,13.674,13.9247890307559,10.9068201480963,,,2279189.0,470809.0,618918.0,668135.0,,-17.64531673406731,77853.94390266981,0.271551854628993,0.2065686522706103,0.2931459391915282,77871.58921940388
2010,2913021.0,-0.49646196338738,-51907.0,12086545641.299,2.97315442681247,4149.14469936847,14.086,13.1267801276088,9.01744998049889,,,2417235.0,477621.0,778042.0,779178.0,,-17.818958394052085,82980.34926627718,0.3218727182090281,0.197589808189936,0.3223426766532836,82998.16822467123
2011,2905195.0,-0.269017331764615,-18630.0,12973755874.5365,2.46351683915714,4465.70914328865,13.481,11.963216583924,8.08329285826067,,,2084134.0,457699.0,491321.0,710126.0,,-6.412650441708732,71738.17936489634,0.2357434790661253,0.2196111190547248,0.3407295308267127,71744.59201533804
2012,2860708.0,-1.54313670532257,-19845.0,12246499747.9714,0.984129880204108,4280.93316338873,13.376,11.5932923255515,7.49597513325321,,,2037669.0,426266.0,456380.0,678707.0,,-6.937093894238769,71229.53478649342,0.2239716067722481,0.209192955283709,0.3330801028037429,71236.47188038766
2013,2816902.0,-1.54314471365633,-20681.0,12796985886.1478,1.7072283175406,4542.92903556739,15.866,10.0167971204892,9.80035898039468,,,2280476.0,428997.0,509591.0,670490.0,,-7.341753458231774,80956.88099905499,0.2234581727674398,0.1881173053345003,0.294013179704588,80964.22275251322
