indicator,indicator_label,model,mae,rmse,r2,train_start_year,train_end_year,test_start_year,test_end_year,observations
population_total,Population,Moving Average Baseline,155719.4666666665,164657.47235006088,-8.468060283214433,2000,2019,2020,2024,25
population_total,Population,Linear Regression,95661.35413533301,96953.1017114084,-2.282627027242932,2000,2019,2020,2024,25
population_total,Population,"ARIMA(1,1,1)",58638.199767832084,64664.38319318194,-0.4602540001173461,2000,2019,2020,2024,25
net_migration,Net Migration,Moving Average Baseline,7135.0,8248.826460641403,-1.5099289737383539,2000,2020,2021,2025,26
net_migration,Net Migration,Linear Regression,20284.181385282056,20998.900002357128,-15.26560377546032,2000,2020,2021,2025,26
net_migration,Net Migration,"ARIMA(1,1,1)",5754.061173367854,7375.204624920002,-1.006435700373597,2000,2020,2021,2025,26
total_first_residence_permits,First Residence Permits,Moving Average Baseline,1231701.1111111112,1633742.7158801146,-0.15276381219181556,2008,2022,2023,2025,18
total_first_residence_permits,First Residence Permits,Linear Regression,1176390.3027777772,1796550.7104399104,-0.3939653119390871,2008,2022,2023,2025,18
total_first_residence_permits,First Residence Permits,"ARIMA(1,1,1)",1124079.5599162413,1790942.378306743,-0.3852757515782199,2008,2022,2023,2025,18
