reason_code,reason,citizenship_code,citizenship_country,duration_code,duration,reporting_country_code,reporting_country,year,value,is_total_reason
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2008,30248,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2009,33925,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2010,23546,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2011,12812,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2012,9544,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2013,10250,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2014,13100,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2015,26342,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2016,30958,True
TOTAL,Total,AL,Albania,TOTAL,Total,EL,Greece,2017,16468,True
